TaxoName, mean0_tolerant, mean1_sensitive
CER(16:0),1.1302524999999999,2.073207692307692
CER(20:0),1.3602150000000002,2.3021346153846154
CER(22:1),1.0942900000000002,2.3775346153846155
CER(24:0),1.2787525,2.0900307692307694
HCER(26:0),1.1614625,2.1889730769230766
LCER(14:0),1.079865,1.9728961538461538
LCER(18:0),1.5813199999999998,4.211280769230769
LCER(20:0),1.4815725,3.4202038461538464
LCER(20:1),1.0098325,1.8608615384615383
LCER(22:0),1.8027075,4.5941846153846155
LCER(22:1),1.0984625000000001,2.4698653846153844
LCER(24:0),1.7560300000000002,4.518946153846154
LCER(26:0),1.1321925,2.446265384615385
LCER(26:1),1.0107249999999999,1.7704884615384617
LPE(15:0),0.8610074999999998,2.2203961538461536
LPE(16:0),1.0588674999999999,2.2569846153846154
LPE(17:0),1.011605,1.887880769230769
MAG(15:0),0.915105,1.5165499999999998
TAG55:5-FA20:4,0.9476950000000001,2.6038384615384613
