TaxoName, mean0_tolerant, mean1_sensitive
1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*,1.3134599999999998,0.9822759999999999
2-aminophenol,1.3815575,0.6641400000000001
3-methyladipate,7.893177499999998,0.73202
alpha-tocopherol,1.2819625,0.82556
alpha-tocotrienol,1.2029,0.556204
azelate (nonanedioate; C9),1.7490275,0.915532
phosphocholine,2.2628749999999997,5.544459999999999
pimelate (C7-DC),1.3658625,0.8234800000000001
suberate (C8-DC),1.2298,0.8023359999999999
trimethylamine N-oxide,1.052975,5.647228
X - 21788,0.41073000000000004,1.499936
X - 22835,1.5885375,0.9266959999999999
X - 23062,1.8028324999999998,0.787932
X - 23734,1.3969875,0.725556
X - 24238,1.5033299999999998,0.860304
X - 24608,1.6381799999999997,0.953112
X - 25501,1.1365750000000001,0.465668
X - 25942,4.2665475,0.529272
X - 25943,2.430415,0.520864
