TaxoName, mean0_tolerant, mean1_sensitive
1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*,1.21743,0.860308
2-aminophenol,1.8926649999999998,0.869532
3-methyladipate,7.274582499999999,0.9019280000000001
"5alpha-androstan-3alpha,17beta-diol disulfate",0.2911,0.9946960000000001
alpha-tocopherol,1.225665,0.813784
alpha-tocotrienol,1.386815,0.71576
"androstenediol (3beta,17beta) disulfate (2)",0.46217500000000006,1.19898
azelate (nonanedioate; C9),1.65295,0.905948
ergosterol,1.1193300000000002,2.276044
gluconate,1.6019275,4.0197519999999995
pimelate (C7-DC),1.2460025000000001,0.800184
taurodeoxycholate,0.1523625,0.521632
X - 17438,1.5511174999999997,1.360608
X - 23734,1.3543375000000002,0.7211759999999999
X - 24608,1.5552425,0.853724
X - 25492,0.5861425,1.530408
X - 25501,1.0942699999999999,0.48688000000000003
X - 25942,3.1568725,0.6285200000000001
X - 25943,2.3927675,0.6001639999999999
