"","x"
"Eubacterium_sp_CAG_180",-1.70109428947369
"Bifidobacterium_bifidum",-1.18033794736842
"Escherichia_coli",-0.712934692982457
"Bifidobacterium_adolescentis",-0.624857377192983
"Eubacterium_sp_CAG_251",-0.529760710526317
"Collinsella_aerofaciens",-0.449141596491229
"Roseburia_hominis",-0.411713179824562
"Ruminococcus_torques",-0.352788442982457
"Roseburia_inulinivorans",-0.328947622807018
"Parabacteroides_merdae",0.340479925438597
"Prevotella_copri",0.371556807017544
"Ruminococcus_sp_CAG_488",0.393805131578949
"Dorea_longicatena",0.407717548245615
"Bacteroides_vulgatus",0.629582350877194
"Bacteroides_plebeius",0.698486969298248
"Alistipes_putredinis",0.743046118421055
"Bacteroides_stercoris",0.911345552631582
"Bacteroides_eggerthii",1.01428078070176
"Bacteroides_uniformis",1.01599287280702
"Eubacterium_rectale",1.36437804824562
